"pip.1"	"pip.2"
"1012"	0.2	0.22
"1013"	0.53	0.76
"1014"	0.93	0.79
"1015"	0.08	0.2
"1016"	0.4	0.38
"1017"	0.47	0.32
"1018"	0.79	0.57
"1019"	0.18	0.26
"1020"	0.2	0.48
"1021"	0.27	0.33
"1022"	0.72	0.58
"1023"	0.11	0.19
"1024"	0.15	0.17
"1025"	0.12	0.15
"1026"	0.18	0.15
"1027"	0.48	0.36
"1028"	0.31	0.33
"1029"	0.29	0.1
"1030"	0.13	0.23
"1031"	0.73	0.66
"1032"	0.53	0.5
"1033"	0.25	0.44
"1034"	0.9	0.91
"1035"	0.27	0.17
"1036"	0.21	0.24
"1037"	0.94	0.84
"1038"	0.69	0.49
"1039"	0.19	0.17
"1040"	0.35	0.41
"1041"	0.28	0.35
"1042"	0.11	0.17
"1043"	0.13	0.28
"1044"	0.42	0.4
"1045"	0.65	0.65
"1046"	0.18	0.3
"1047"	0.85	0.62
"1048"	0.52	0.51
"1049"	0.12	0.16
"1050"	0.43	0.47
"1051"	0.2	0.25
"1052"	0.28	0.32
"1053"	0.89	0.61
"1054"	0.59	0.55
"1055"	0.21	0.2
"1056"	0.89	0.57
"1057"	0.42	0.45
"1058"	0.09	0.15
"1059"	0.11	0.12
"1060"	0.9	0.69
"1061"	0.16	0.43
"1062"	0.27	0.22
"1063"	0.39	0.5
"1064"	0.53	0.42
"1065"	0.33	0.14
"1066"	0.11	0.1
"1067"	0.17	0.23
"1068"	0.22	0.31
"1069"	0.11	0.16
"1070"	0.16	0.21
"1071"	0.06	0.13
"1072"	0.15	0.2
"1073"	0.35	0.27
"1074"	0.21	0.49
"1075"	0.21	0.23
"1076"	0.16	0.14
"1077"	0.51	0.4
"1078"	0.03	0.18
"1079"	0.39	0.48
"1080"	0.74	0.47
"1081"	0.66	0.63
"1082"	0.83	0.56
"1083"	0.94	0.77
"1084"	0.05	0.03
"1085"	0.38	0.58
"1086"	0.08	0.15
"1087"	0.36	0.39
"1088"	0.2	0.09
"1089"	0.16	0.18
"1090"	0.34	0.33
"1091"	0.89	0.9
"1092"	0.04	0.19
"1093"	0.71	0.48
"1094"	0.13	0.3
"1095"	0.92	0.6
"1096"	0.4	0.53
"1097"	0.14	0.43
"1098"	0.62	0.41
"1099"	0.43	0.34
"1100"	0.94	0.84
"1101"	0.82	0.49
"1102"	0.73	0.66
"1103"	0.67	0.55
"1104"	0.67	0.55
"1105"	0.28	0.45
"1106"	0.12	0.14
"1107"	0.82	0.57
"1108"	0.48	0.7
"1109"	0.46	0.23
"1110"	0.05	0.07
"1111"	0.26	0.45
"1112"	0.55	0.62
"1113"	0.2	0.15
"1114"	0.05	0.09
"1115"	0.22	0.25
"1116"	0.61	0.61
"1117"	0.44	0.44
"1118"	0.1	0.08
"1119"	0.14	0.07
"1120"	0	0.13
"1121"	0.37	0.31
"1122"	0.11	0.07
"1123"	0.75	0.43
"1124"	0.22	0.3
"1125"	0.05	0.42
"1126"	0.07	0.13
"1127"	0.14	0.1
"1128"	0.12	0.16
"1129"	0.36	0.32
"1130"	0.09	0.11
"1131"	0.1	0.24
"1132"	0.63	0.59
"1133"	0.51	0.43
"1134"	0.25	0.33
"1135"	0.86	0.65
"1136"	0.61	0.52
"1137"	0.26	0.3
"1138"	0.75	0.69
"1139"	0.09	0.42
"1140"	0.47	0.37
"1141"	0.16	0.18
"1142"	0.11	0.33
"1143"	0.09	0.45
"1144"	0.34	0.31
"1145"	0.38	0.68
"1146"	0.5	0.5
"1147"	0.07	0.09
"1148"	0.48	0.51
"1149"	0.27	0.52
